tcp,estc,playfile,html_name,corpus_name,Wiggins number,author,author 2,author 3,author 4,author 5,translator,adaptation,missing from tcp or excluded,title,alternative title,type,genre,Wiggins genre,DEEP genre,Harbage genre,Wiggins contemporary genre,date of writing,date of 1st performance,Harbage limits of performance date,date of 1st publication,date of text used,play company 1,play company 2,theatre,metre,rhyme,notes,text_name,in_554,in_666,in_1244,status
A01777,S103196,A01777,a01777headed_Docuscope.html,46977f5d7a,,"Glapthorne, Henry",,,,,,,no,Albertus Wallenstein,,drama,TR,,Foreign History,,,1639,1639,,1639,1639,King's Men,,,,,,A01777.headed.txt,TRUE,TRUE,TRUE,Free
A01779,S103219,A01779,a01779headed_Docuscope.html,46977f5d7a,,"Glapthorne, Henry",,,,,,,no,Wit in a Constable,,drama,CO,,CO,,,1636,1638,,1640,1640,Beeston's Boys,,,,,,A01779.headed.txt,TRUE,TRUE,TRUE,Free
A01836,S122361,A01836,a01836headed_Docuscope.html,,,"Goffe, Thomas",,,,,,,no,The Courageous Turk,"The Courageous Turk, or Amurath the First",drama,TR,,TR,,,1619,1619,,1632,1632,,,,,,,A01836.headed.txt,FALSE,FALSE,FALSE,Free
A01839,S103199,A01839,a01839headed_Docuscope.html,,,"Goffe, Thomas",,,,,,,no,"The Raging Turk, or Bajazet the Second",,drama,TR,,TR,,,1618,1618,,1631,1631,,,,,,,A01839.headed.txt,FALSE,FALSE,FALSE,Free
A01840,S103295,A01840,a01840headed_Docuscope.html,,,"Goffe, Thomas",,,,,,,no,Orestes,,drama,TR,,TR,,,1616,1617,,1633,1633,,,,,,,A01840.headed.txt,FALSE,FALSE,FALSE,Free
A01848,S105771,A01848,a01848headed_Docuscope.html,,702,"Goldwell, Henry",,,,,,,yes,The Entertainment of the French Ambassadors,Later assigned: The Fortress of Perfect Beauty; The Entertainment of the French Ambassadors; The Four Foster-Children of Desire,drama,EN,tilt,Tilt and EN,,,1581,1581,,[1581],1581,,,"English Court at the Tiltyard, Whitehall",no,no,,A01848.headed.txt,FALSE,FALSE,TRUE,Free
A01853,S103225,A01853,a01853headed_Docuscope.html,46977f5d7a,,"Gomersall, Robert",,,,,,,no,Lodovick Sforza,,drama,TR,,TR,,,1628,1628,,1628,1628,,,,,,,A01853.headed.txt,TRUE,TRUE,TRUE,Free
A01911,S103309,A01911,a01911headed_Docuscope.html,46977f5d7a,1340,"Chapman, George",,,,,,,no,Sir Giles Goosecap,"Printed: Sir Giles Goosecap, Knight / Contemporary: Sir Giles Goosecap",drama,CO,CO,CO,,kinder-comoedia; historia; CO,1602,1602,,1606,1606,Children of the Chapel (second),,the Blackfriars,prose and pentameter,no,,A01911.headed.txt,TRUE,TRUE,TRUE,Free
A01989,S103348,A01989,a01989headed_Docuscope.html,46977f5d7a,,"Gough, John",,,,,,,no,The Strange Discovery,,drama,TC,,TC,,,1640,1640,,1640,1640,,,,,,,A01989.headed.txt,TRUE,TRUE,TRUE,Free
A02070,S105826,A02070,a02070headed_Docuscope.html,46977f5d7a,893,"Greene, Robert",,,,,,,no,"George a Green, the Pinner of Wakefield","Performed: George-a-Greene / Printed: George-a-Greene, the Pinner of Wakefield / Contemporary: The Pinner of Wakefield / Alternative Modernization: George a Green",drama,CO,romance,Romantic Comedy,,interlude; CO,1587,1590,,1599,1599,Sussex's Men,,,yes,no,,A02070.headed.txt,TRUE,TRUE,TRUE,Free
A02091,S105900,A02091,a02091headed_Docuscope.html,46977f5d7a,788,"Greene, Robert",,,,,,,no,"Alphonsus, King of Aragon","Printed: Alphonsus, King of Aragon / Contemporary: Alphonso of Aragon; Tragicomoedia von einem König in Arragona",drama,CO,romance,Heroical Romance,,CO; 'comical history'; HI; play; tragicomoedia,1587,1587,,1599,1599,Queen's Men (?),,,yes,no,,A02091.headed.txt,TRUE,TRUE,TRUE,Free
A02125,S105966,A02125,a02125headed_Docuscope.html,46977f5d7a,876,"Greene, Robert",,,,,,,no,Orlando Furioso,"Performed: Orlando / Printed: Orlando Furioso, One of the Twelve Peers of France / Contemporary: Orlando furioso",drama,HI,romance,Romantic Comedy,,HI; comoedia,1591,1591,,1594,1594,Queen's Men,Admiral's (Nottingham's) Men - almost simultaneously,,pentameter and prose,no,,A02125.headed.txt,TRUE,TRUE,TRUE,Free
A02127,S105968,A02127,a02127headed_Docuscope.html,46977f5d7a,,"Greene, Robert",,,,,,,no,Friar Bacon and Friar Bongay,,drama,CO,,CO,,,1586,1589,,1594,1594,Queen Elizabeth's Men,Prince Palatine's Men,,,,,A02127.headed.txt,TRUE,TRUE,TRUE,Free
A02128,S103422,A02128,a02128headed_Docuscope.html,,,"Greene, Robert",,,,,,,no,Friar Bacon and Friar Bongay,,drama,CO,,CO,,,1586,1589,,1594,1630,Queen Elizabeth's Men,Prince Palatine's Men,,,,,A02128.headed.txt,FALSE,FALSE,FALSE,Free
A02168,S105810,A02168,a02168headed_Docuscope.html,46977f5d7a,854,"Greene, Robert",,,,,,,no,The Scottish History of James the Fourth,"Printed: The Scottish History of James IV, Slain at Flodden / Contemporary: The Scottish History of James IV / Alternative Modernization: James the Fourth",drama,HI,romance,HI,,jig; HI; CO,1590,1590,,1598,1598,,,,pentameter and prose,blank verse and couplets,,A02168.headed.txt,TRUE,TRUE,TRUE,Free
A02226,S120837,A02226_04,a02226headed006play001_Docuscope.html,46977f5d7a,1225,"Greville, Fulke",,,,,,,no,Alaham,Printed/MS: Alaham,drama,TR,TR,TR,,,1600,1600,,1633,1633,,,,yes,yes,,A02226.headed_006_play_001.txt,TRUE,TRUE,TRUE,Free
A02226,S120837,A02226_05,a02226headed042play002_Docuscope.html,46977f5d7a,1041,"Greville, Fulke",,,,,,,no,Mustapha,Printed: The Tragedy of Mustapha / Contemporary: The Tragedy of Mustapha and Zanger,drama,TR,TR,TR,,TR,1596,1596,,1609,1633,,,,yes,blank verse and couplets,,A02226.headed_042_play_002.txt,TRUE,TRUE,TRUE,Free
A02227,S103431,A02227,a02227headed_Docuscope.html,,1041,"Greville, Fulke",,,,,,,no,Mustapha,Printed: The Tragedy of Mustapha / Contemporary: The Tragedy of Mustapha and Zanger,drama,TR,TR,TR,,TR,1596,1596,,1609,1609,,,,yes,blank verse and couplets,,A02227.headed.txt,FALSE,FALSE,FALSE,Free
A02262,S4330,A02262,a02262headed_Docuscope.html,46977f5d7a,,"Grotius, Hugo",,,,,"Sandys, George",,no,Christ's Passion,,drama,TR,,Neo-miracle,,,1640,1640,,1640,1640,,,,,,,A02262.headed.txt,TRUE,TRUE,TRUE,Free
A02284,S103502,A02284,a02284headed_Docuscope.html,46977f5d7a,1298,"Guarini, Battista",,,,,"Dymock, John (Wiggins: Dymoke)",,no,"Il Pastor Fido, or The Faithful Shepherd","Printed: Il pastor fido, or The Faithful Shepherd / Contemporary: The Faithful Shepherd",drama,TC,pastoral,Pastoral,,,1601,1601,,1602,1602,,,,yes,no,,A02284.headed.txt,TRUE,TRUE,TRUE,Free
A02455,S120594,A02455,a02455headed_Docuscope.html,46977f5d7a,,"Habington, William",,,,,,,no,The Queen of Aragon,Cleodora,drama,TC,,TC,,,1640,1640,,1640,1640,King's Men,,,,,,A02455.headed.txt,TRUE,TRUE,TRUE,Free
A02629,S103841,A02629,a02629headed_Docuscope.html,46977f5d7a,,"Harding, Samuel",,,,,,,no,Sicily and Naples,"Sicily and Naples, or The Fatal Union",drama,TR,,TR,,,1640,1640,,1640,1640,,,,,,,A02629.headed.txt,TRUE,TRUE,TRUE,Restricted
A02658,S110631,A02658,a02658headed_Docuscope.html,,61,"Bale, John",,,,,,,no,The Temptation of Our Lord and Savior Christ by Satan,"Printed: The Temptation of Our Lord and Saviour, Jesus Christ, by Satan in the Desert / Contemporary: De Christi tentatione / Later assigned: The Temptation of Our Lord; The Temptation of Christ",drama,IN,biblical,Anti-Catholic Mystery,,CO; IN,1538,1538,,1547-8,1547,,,,yes,yes,,A02658.headed.txt,FALSE,TRUE,TRUE,Free
A02732,S122021,A02732,a02732headed_Docuscope.html,,,"Dekker, Thomas","Webster, John","Harrison, Stephen",,,,,no,Arches of Triumph,The Entertainment through London,drama,EN,,Coronation EN,,,1604,1604,,1604,1604,,,,,,,A02732.headed.txt,FALSE,TRUE,TRUE,Free
A02738,S110903,A02738,a02738headed_Docuscope.html,,51,"Bale, John",,,,,,,no,"The Three Laws of Nature, Moses, and Christ, Corrupted by the Sodomites, Pharisees, and Papists","Printed: Three Laws, of Nature, Moses, and Christ, Corrupted by the Sodomites, Pharisees, and Papists / Contemporary: De triplici Dei lege; De corruptis Dei legibus; Three Laws, of Nature, Moses, and Christ, Corrupted by the Sodomites, Pharisees, and Papists Most Wicked; Corruptiones legum divinarum / Later assigned: Three Laws",drama,IN,moral,Anti-Catholic Moral,,CO; IN,1538,1538,,1547-8,1548,,,,yes,yes,,A02738.headed.txt,FALSE,TRUE,TRUE,Free
A02749,S104458,A02749,a02749headed_Docuscope.html,,51,"Bale, John",,,,,,,no,"The Three Laws of Nature, Moses, and Christ, Corrupted by the Sodomites, Pharisees, and Papists","Printed: Three Laws, of Nature, Moses, and Christ, Corrupted by the Sodomites, Pharisees, and Papists / Contemporary: De triplici Dei lege; De corruptis Dei legibus; Three Laws, of Nature, Moses, and Christ, Corrupted by the Sodomites, Pharisees, and Papists Most Wicked; Corruptiones legum divinarum / Later assigned: Three Laws",drama,IN,moral,Anti-Catholic Moral,,CO; IN,1538,1538,,1547-8,1562,,,,yes,yes,,A02749.headed.txt,FALSE,FALSE,FALSE,Free
A02800,S106033,A02800,a02800headed_Docuscope.html,46977f5d7a,,"Haughton, William",,,,,,,no,Englishmen for My Money,"Englishmen for My Money, or A Woman Will Have Her Will",drama,CO,,CO,,,1598,1598,,1616,1616, Admiral's (Nottingham's) Men,,,,,,A02800.headed.txt,TRUE,TRUE,TRUE,Free
A02827,S106116,A02827,a02827headed_Docuscope.html,46977f5d7a,,"Hawkins, William",,,,,,,no,Apollo Shroving,,drama,CO,,CO,,,1627,1627,,1627,1627,,,,,,,A02827.headed.txt,TRUE,TRUE,TRUE,Free
A02906,S109167,A02906,a02906headed_Docuscope.html,,59,"Bale, John",,,,,,,no,The Chief Promises of God unto Man,Printed: The Chief Promises of God unto Man by all Ages in the Old Law / Contemporary: God's Promises in the Old Law; De promissibus divinis; De magnis Dei promissionibus / Later assigned: God's Promises; The Chief Promises of God; God's Chief Promises,drama,IN,biblical,Anti-Catholic Mystery,,TR; IN,1538,1538,,1547-8,1547,,,,yes,yes,,A02906.headed.txt,FALSE,TRUE,TRUE,Free
A03019,S103981,A03019,a03019headed_Docuscope.html,,,"Munday, Anthony",,,,,,,yes,London's Love to Prince Henry,,drama,EN,,Royal EN,,,1610,1610,,1610,1610,,,,,,,A03019.headed.txt,FALSE,FALSE,TRUE,Free
A03022,S122279,single play in collection of non-dramatic material,a03022headed010text002_Docuscope.html,,,"Daniel, Samuel",,,,,,,yes,"Tethy's Festival, or The Queen's Wake",,drama,MA,,MA,,,1610,1610,,1610,1610,,,,,,,A03022.headed_010_text_002.txt,FALSE,FALSE,TRUE,Free
A03175,S106439,A03175,a03175headed_Docuscope.html,46977f5d7a,,"Heywood, John",,,,,,,no,"The Pardoner and the Friar, the Curate, and Neighbor Pratte",,drama,CO,,Comic Interlude,,,1513,1519,,1533,1533,,,,,,,A03175.headed.txt,TRUE,TRUE,TRUE,Free
A03177,S109760,A03177,a03177headed_Docuscope.html,,,"Heywood, John",,,,,,,no,The Four P's,,drama,IN,,Comic IN,,,1520,1520,,1544,1544,,,,,,,A03177.headed.txt,FALSE,TRUE,TRUE,Free
A03179,S112198,A03179,a03179headed_Docuscope.html,,,"Heywood, John",,,,,,,no,A Play of Love,,drama,IN,,Disputation,,,1533,1534,,1534,1534,,,,,,,A03179.headed.txt,FALSE,TRUE,TRUE,Free
A03181,S114935,A03181,a03181headed_Docuscope.html,,,"Heywood, John",,,,,,,no,The Play of the Weather,,drama,IN,,Comic IN,,,1519,1528,,1533,1544,,,,,,,A03181.headed.txt,FALSE,TRUE,TRUE,Free
A03189,S104054,A03189,a03189headed_Docuscope.html,46977f5d7a,,"Heywood, Thomas",,,,,,,no,The Brazen Age,,drama,TC,,Classical Legend,,,1611,1611,,1613,1613,Queen Anne's Men,,,,,,A03189.headed.txt,TRUE,TRUE,TRUE,Free
A03190,S104032,A03190,a03190headed_Docuscope.html,46977f5d7a,,"Heywood, Thomas",,,,,,,no,A Challenge for Beauty,,drama,CO,,TC,,,1635,1635,,1636,1636,King's Men,,,,,,A03190.headed.txt,TRUE,TRUE,TRUE,Free
A03195,S104058,A03195,a03195headed_Docuscope.html,46977f5d7a,,"Heywood, Thomas",,,,,,,no,The English Traveller,,drama,CO,,TC,,,1627,1627,,1633,1633,Queen Henrietta Maria's Men,,,,,,A03195.headed.txt,TRUE,TRUE,TRUE,Free
