TCP,ESTC ,text_name,html_name,serendipFilename,Title,Title 30 Char or fewer,Author,Date,Physical Description,Phys Desc Notes,Derived Date,Publication Place,Publisher,Keywords,Call Number,"Verse, Prose, Mixed ",Helsinki Prototypical Text Category,Non-Helsinki Prototypical,Notes
A43866,R11573,A43866.headed.txt,a43866headed_Docuscope.html,A43866_1641_HisMaiestiespassingt,"His Maiesties passing through the Scots armie as also, his entertainment by Generall Lesly : together with the manner of the Scots marching out of New-Castle / related by the best intelligence.",KingPassingThruScotsArmy,,1641,4°,,1641,[Edinburgh? :,"s.n.],","Charles -- I, -- King of England, -- 1600-1649.|Leven, Alexander Leslie, -- Earl of, -- 1580?-1661.|Great Britain -- History -- Charles I, 1625-1649 -- Sources.",,prose,NN,NARR,
A43889,R11690,A43889.headed.txt,a43889headed_Docuscope.html,A43889_1641_Themannerhowstatutes,The manner how statutes are enacted in Parliament by passing of bills collected many yeares past out of the iournalls of the House of Commons by W. Hakewil ... ; together with a catalogue of the speakers names.,HowParliamentStatutesEnacted,"Hakewill, William, 1574-1655.",1641,12°,,1641,London :,"Printed by T.H. for Iohn Benson ...,",England and Wales. -- Parliament -- Rules and practice.|England and Wales. -- Parliament. -- House of Commons -- Speaker.|England and Wales. -- Parliament. -- House of Commons.,,prose,EX,EX,
A43987,R22309,A43987.headed.txt,a43987headed_Docuscope.html,A43987_1656_Elementsofphilosophy,"Elements of philosophy the first section, concerning body / written in Latine by Thomas Hobbes of Malmesbury ; and now translated into English ; to which are added Six lessons to the professors of mathematicks of the Institution of Sr. Henry Savile, in th",ElementsOfPhilosophy,"Hobbes, Thomas, 1588-1679.",1656,4°,,1656,London :,"Printed by R.  W. Leybourn for Andrew Crooke ...,",Philosophy -- Early works to 1800.,,prose,EX,EX,
A44173,R13605,A44173.headed.txt,a44173headed_Docuscope.html,A44173_1661_Apanegyrickonthecoro,A panegyrick on the coronation of His Most Sacred Majesty Charles II by Samuel Holland.,PanegyrickCoronationCharlesII,"Holland, Samuel, gent.",1661,2°,,1661,London :,"Printed for William Plaice ...,","Charles -- II, -- King of England, -- 1630-1685 -- Coronation -- Poetry.",,verse,NN,DESC,
A44243,R30719,A44243.headed.txt,a44243headed_Docuscope.html,A44243_1678_PleasofthecrownorAbr,"Pleas of the crown, or, A brief but full account of whatsoever can be found relating to that subject by Sir Matthew Hale.",PleasOfTheCrown,"Hale, Matthew, Sir, 1609-1676.",1678,8°,,1678,London :,"Printed for Richard Tonson ...,",Pleas of the crown.|Criminal law -- Great Britain.,,prose,STA,STA,
A44446,R24989,A44446.headed.txt,a44446headed_Docuscope.html,A44446_1700_AmasiaorTheworksofth,"Amasia, or, The works of the muses a collection of poems : in three volumes / by John Hopkins.",AmasiaWorksOfMusesPoems,"Hopkins, John, fl. 1700.",1700,8°,,1700,London :,"Printed by Tho. Warren for Bennet Banbury,",,,verse,NI,NARR,
A44574,R40925,A44574.headed.txt,a44574headed_Docuscope.html,A44574_1689_Themanofhonouroccasi,"The man of honour, occasion'd by the postscript of pen's letter",ManOfHonour,"Halifax, Charles Montagu, Earl of, 1661-1715.",1669],4°,,1689,[London :,"s.n.,",,,verse,NN,NARR,
A44657,R30342,A44657.headed.txt,a44657headed_Docuscope.html,A44657_1696_Poemsonseveraloccasi,Poems on several occasions written by the Honoura ble Sir Robert Howard.|The blind lady.,PoemsSeveralOccasionsHoward,"Howard, Robert, Sir, 1626-1698.|Virgil.|Statius, P. Papinius|Dryden, John, 1631-1700.",1696,8°,,1696,London :,"Printed for Francis Saunders ...,",,,mixed,NI,NARR,"contains original occasional poems as well as translations of classical poetry, prose annotations on the translations, and a play (in verse)"
A44793,R22288,A44793.headed.txt,a44793headed_Docuscope.html,A44793_1665_Thegreatcaseofthetyt,"The great case of the tythes and forced maitenance [sic] once more revived the true state thereof enquired into, before the law, under the law, among the Jews : likewise under the Gospel, the true ministers of Christ, their allowance shown : likewise in t",TythesForcedMaintenance,"Howgill, Francis, 1618-1669.|M. L.|Guy, Edward, 17th cent.|Raunce, John, 17th cent.",1665,4°,,1665,[London :,"s.n. ],",Tithes -- Early works to 1800.,,prose,IR,ARG,
A44836,R11626,A44836.headed.txt,a44836headed_Docuscope.html,A44836_1695_Somecautionsofferedt,Some cautions offered to the consideration of those who are to chuse members to serve in the ensuing Parliament|Cautions to those who are to chuse members to serve in Parliament,CautionsToChooseParliament,"Halifax, George Savile, Marquis of, 1633-1695.",1695,4°,,1695,London :,"[s.n.],",England and Wales. -- Parliament.|Elections -- Great Britain.,,prose,IS,INST,
A45212,R213500,A45212.headed.txt,a45212headed_Docuscope.html,A45212_1680_Reasonsfortheinditem,"Reasons for the inditement of the D. of York, presented to the grand jury of Middlesex, Saturday, June 26. 80. By the persons hereunder named.",InditementOfDukeOfYork,"Huntingdon, Theophilus Hastings, Earl of, 1650-1701.",1680],1/2°,single-sided,1680,[London :,"s.n.,","James, -- II, -- King of England, -- 1633-1701 -- Early works to 1800.",,prose,STA,STA,
A45214,R188181,A45214.headed.txt,a45214headed_Docuscope.html,A45214_1641_Adefenceofthehumbler,"A defence of the humble remonstrance, against the frivolous and false exceptions of Smectymnvvs wherein the right of leiturgie and episcopacie is clearly vindicated from the vaine cavils, and challenges of the answerers / by the author of the said humble",DefenseAgainstSmectymnuus,"Hall, Joseph, 1574-1656.|Scultetus, Abraham, 1566-1624.",1641,4°,,1641,London :,"Printed for Nathaniel Butter ...,","Smectymnuus. -- Answer to a book entituled, An humble remonstrance.|Hall, Joseph, -- 1574-1656. -- Humble remonstrance to the high court of Parliament.",,prose,IR?,ARG,
A45318,R10352,A45318.headed.txt,a45318headed_Docuscope.html,A45318_1660_Theshakingoftheolive,"The shaking of the olive-tree the remaining works of that incomparable prelate Joseph Hall D. D. late lord bishop of Norwich : with some specialties of divine providence in his life, noted by his own hand : together with his Hard measure, vvritten also by",WorksJosephHall,"Hall, Joseph, 1574-1656.|Hall, Joseph, 1574-1656.",1660,4°,,1660,London :,"Printed by J. Cadwel for J. Crooke ...,","Hall, Joseph, -- 1574-1656.|Sermons, English -- Early works to 1800.|Sermons -- England -- 17th century",,prose,IR,INST,
A45360,R13918,A45360.headed.txt,a45360headed_Docuscope.html,A45360_1677_Thesacredmethodofsav,The sacred method of saving humane souls by Jesus Christ by Henry Hallywell ...,SavingHumaneSouls,"Hallywell, Henry, d. 1703?",1677,8°,,1677,London :,"Printed for Walter Kettilby ...,",Salvation -- Early works to 1800.,,prose,IR,INST,
