TCP,ESTC
A01707,S121786
A01711,S120470
A01712,S114965
A01716,S105690
A01718,S103141
A01719,S114031
A01724,S118830
A01725,S117695
A01727,S108636
A01730,S118453
A01731,S118278
A01735,S118836
A01736,S114289
A01737,S119158
A01738,S114291
A01739,S112185
A01740,S108637
A01743,S121104
A01744,S122602
A01747,S118376
A01748,S100519
A01749,S105732
A01750,S103154
A01752,S103111
A01753,S103156
A01754,S114969
A01759,S103163
A01760,S103123
A01761,S114032
A01764,S103128
A01765,S118377
A01767,S2707
A01768,S103133
A01769,S102455
A01772,S103124
A01773,S103204
A01774,S115257
A01775,S103220
A01776,S103221
A01777,S103196
A01779,S103219
A01780,S103148
A01782,S109863
A01784,S109575
A01786,S105734
A01787,S120325
A01791,S105736
A01792,S105738
A01793,S105740
A01794,S123090
A01795,S105741
A01797,S121577
A01800,S120518
A01801,S118768
A01802,S103158
A01804,S105686
A01809,S118694
A01810,S103176
A01811,S106901
A01812,S118380
A01813,S114835
A01814,S103106
A01818,S103192
A01822,S114909
A01828,S116675
A01831,S109504
A01836,S122361
A01837,S103197
A01838,S103291
A01839,S103199
A01840,S103295
A01843,S119743
A01845,S108626
A01846,S103303
A01847,S100520
A01848,S105771
A01849,S103202
A01850,S103307
A01851,S103214
A01852,S103324
A01853,S103225
A01857,S117395
A01858,S121925
A01864,S103230
A01867,S4320
A01868,S2691
A01869,S117269
A01871,S118382
A01872,S118637
A01873,S118282
A01874,S117575
A01877,S118283
A01878,S118492
A01880,S103263
A01881,S118284
A01883,S103235
A01886,S105768
A01887,S112828
A01889,S120307
A01890,S103245
A01891,S117964
A01894,S103262
A01898,S103254
A01900,S118384
A01902,S117577
A01907,S3995
A01908,S105755
A01909,S106441
A01910,S120332
A01911,S103309
A01914,S103323
A01917,S117965
A01919,S3027
A01920,S103340
A01923,S118946
A01924,S117967
A01929,S105764
A01930,S103342
A01931,S115999
A01932,S105760
A01933,S104455
A01934,S118966
A01935,S120526
A01936,S103328
A01937,S103329
A01942,S3054
A01943,S100526
A01945,S105756
A01947,S3021
A01948,S120862
A01949,S105684
A01951,S105757
A01952,S105769
A01953,S103345
A01955,S112458
A01956,S100417
A01957,S104536
A01958,S103327
A01960,S105770
A01962,S105772
A01970,S103305
A01971,S103279
A01972,S103283
A01974,S103284
A01975,S103286
A01979,S103304
A01980,S103306
A01981,S103308
A01982,S118293
A01987,S118696
A01988,S105777
A01989,S103348
A01991,S103356
A01992,S103357
A01993,S109870
A01994,S114852
A01996,S103358
A01997,S106556
A01998,S106702
A02000,S103359
A02008,S115669
A02021,S103384
A02023,S112481
A02024,S117271
A02026,S3198
A02027,S105776
A02028,S114983
A02029,S112830
A02030,S121351
A02031,S103385
A02032,S103386
A02034,S120398
A02036,S114984
A02039,S117974
A02040,S121789
A02041,S118548
A02043,S110441
A02044,S103388
A02045,S117976
A02048,S105793
A02049,S118549
