TCP,text_name,component0,component1
A00386,A00386.headed.txt,0.651372307,2.107613016
A00387,A00387.headed.txt,1.194018446,0.777807387
A00389,A00389.headed.txt,-0.317960262,1.847051139
A00391,A00391.headed.txt,-1.127405734,1.311231597
A00392,A00392.headed.txt,-0.487032639,1.117594321
A00393,A00393.headed.txt,-1.462723924,1.966462427
A00394,A00394.headed.txt,-2.131711274,0.90179016
A00395,A00395.headed.txt,0.939406265,-5.036015041
A00397,A00397.headed.txt,1.123645205,2.109674018
A00399,A00399.headed.txt,-1.307843119,-7.359261779
A00400,A00400.headed.txt,-1.913965598,-1.249971906
A00401,A00401.headed.txt,-2.231590201,1.732640368
A00402,A00402.headed.txt,-1.552093831,0.642713683
A00403,A00403.headed.txt,1.185129467,-2.187881435
A00404,A00404.headed.txt,2.912410037,-1.275369945
A00405,A00405.headed.txt,-0.270773691,-0.395375283
A00406,A00406.headed.txt,0.391731254,0.67605483
A00407,A00407.headed.txt,-0.185497925,0.582291441
A00408,A00408.headed.txt,-0.508087462,1.462893881
A00409,A00409.headed.txt,0.583780251,0.793011065
A00410,A00410.headed.txt,-2.108944582,2.080191422
A00412,A00412.headed.txt,-0.862935965,1.698987007
A00414,A00414.headed.txt,-0.664226549,0.855716334
A00415,A00415.headed.txt,1.577420718,-1.465803024
A00419,A00419.headed.txt,-5.050453687,-1.497252194
A00423,A00423.headed.txt,-1.477757547,0.625568372
A00425,A00425.headed.txt,-4.031600665,-4.426705236
A00426,A00426.headed.txt,-0.646993551,0.477623166
A00428,A00428.headed.txt,3.257959937,-0.071661068
A00429,A00429.headed.txt,-1.05316347,-3.097945287
A00430,A00430.headed.txt,2.674571639,-0.160561789
A00433,A00433.headed.txt,-3.385649038,1.002851308
A00437,A00437.headed.txt,-1.166335075,0.556063806
A00439,A00439.headed.txt,-0.839009815,-4.616619402
A00440,A00440.headed.txt,1.355222586,-0.435495134
A00446,A00446.headed.txt,-0.883898205,0.061742535
A00448,A00448.headed.txt,1.349414438,-0.865013113
A00452,A00452.headed.txt,-0.980555934,2.888307344
A00453,A00453.headed.txt,-1.771098467,-1.149851899
A00454,A00454.headed.txt,0.29627528,-0.019811122
A00455,A00455.headed.txt,-0.596100101,2.062350172
A00456,A00456.headed.txt,-3.702753632,1.558040878
A00457,A00457.headed.txt,0.627176107,1.373387424
A00458,A00458.headed.txt,-0.366369967,0.524035621
A00459,A00459.headed.txt,0.269833319,-0.524350935
A00460,A00460.headed.txt,-3.9001005,2.236616636
A00461,A00461.headed.txt,-1.08365287,-0.722256738
A00462,A00462.headed.txt,-1.647969181,-0.305615686
A00463,A00463.headed.txt,-1.959473994,0.952594075
A00464,A00464.headed.txt,-4.230786875,1.544201304
A00465,A00465.headed.txt,-1.291058339,-4.318014807
A00466,A00466.headed.txt,-1.253182989,0.548765156
A00467,A00467.headed.txt,-0.973977451,2.382716676
A00471,A00471.headed.txt,-2.369987843,3.090321937
A00472,A00472.headed.txt,0.166327979,0.933252488
A00473,A00473.headed.txt,-0.389290651,0.872182212
A00474,A00474.headed.txt,-4.427379988,1.105977026
A00475,A00475.headed.txt,-4.352711829,1.170411962
A00476,A00476.headed.txt,-4.264551216,1.265141911
A00477,A00477.headed.txt,-0.345453535,0.503286942
A00478,A00478.headed.txt,-3.400433025,1.577704027
A00479,A00479.headed.txt,-1.176392087,1.062183649
A00481,A00481.headed.txt,0.241319052,2.742267569
A00482,A00482.headed.txt,-0.13454687,1.749743182
A00483,A00483.headed.txt,2.315207973,2.956338368
A00489,A00489.headed.txt,-4.710586264,0.885303748
A00498,A00498.headed.txt,2.390218582,1.07583684
A00499,A00499.headed.txt,7.437681171,-1.902552023
A00502,A00502.headed.txt,-0.73428964,2.108418166
A00503,A00503.headed.txt,-3.440242085,1.980330012
A00505,A00505.headed.txt,0.128842284,0.513154102
A00508,A00508.headed.txt,-0.024564547,-0.377910201
A00509,A00509.headed.txt,2.481678169,-1.277456393
A00510,A00510.headed.txt,-0.151081218,1.219848096
A00514,A00514.headed.txt,-1.898181064,2.180471975
A00515,A00515.headed.txt,-4.334969444,-0.617902623
A00518,A00518.headed.txt,-3.115476109,-0.7180724
A00519,A00519.headed.txt,-2.620824131,1.769450049
A00520,A00520.headed.txt,-1.358502541,0.330921345
A00522,A00522.headed.txt,1.642991298,2.11617315
A00525,A00525.headed.txt,-0.124874623,-0.395289966
A00527,A00527.headed.txt,-4.515241182,-19.76613107
A00529,A00529.headed.txt,-1.862418612,2.334327943
A00533,A00533.headed.txt,-1.904177991,-2.888892187
A00535,A00535.headed.txt,2.220965764,-0.440993395
A00537,A00537.headed.txt,-0.210126516,1.390613872
A00538,A00538.headed.txt,-3.093164851,-14.25366218
A00541,A00541.headed.txt,1.152154792,1.491830302
A00544,A00544.headed.txt,2.727340872,0.871691227
A00545,A00545.headed.txt,2.983145829,-0.376102901
A00546,A00546.headed.txt,-1.105343043,2.191749878
A00548,A00548.headed.txt,-0.389230646,1.707370375
A00549,A00549.headed.txt,-2.103311761,0.139848846
A00551,A00551.headed.txt,-2.375747908,1.757140609
A00552,A00552.headed.txt,-0.832175294,1.300704325
A00553,A00553.headed.txt,-0.123206341,-0.741510909
A00554,A00554.headed.txt,0.681634771,1.871057694
A00555,A00555.headed.txt,-0.883418523,0.210864402
A00562,A00562.headed.txt,-4.187063821,1.304348317
A00563,A00563.headed.txt,-1.310276965,-7.957483291
A00564,A00564.headed.txt,-2.175755286,-0.308219144
A00565,A00565.headed.txt,-0.033571245,0.141976467
A00566,A00566.headed.txt,-3.803043061,0.188982655
A00573,A00573.headed.txt,-2.081789634,-3.01807593
A00574,A00574.headed.txt,-2.546283884,0.868698499
A00579,A00579.headed.txt,-2.84473924,0.388360997
A00580,A00580.headed.txt,0.044293539,-2.507737682
A00581,A00581.headed.txt,-0.55132067,0.687949864
A00583,A00583.headed.txt,0.713818727,0.046648251
A00584,A00584.headed.txt,2.352962026,-0.690653232
A00586,A00586.headed.txt,0.399821551,-0.553598874
A00587,A00587.headed.txt,-0.502059596,-0.867549312
A00593,A00593.headed.txt,-0.705514252,-0.092178847
A00594,A00594.headed.txt,0.973420497,-0.231246472
A00596,A00596.headed.txt,0.293117536,-0.876471667
A00597,A00597.headed.txt,1.032535762,-1.872945383
A00599,A00599.headed.txt,0.77672403,-2.241276789
A00600,A00600.headed.txt,1.926769978,0.48059552
A00601,A00601.headed.txt,1.579842701,-0.170572471
A00602,A00602.headed.txt,-0.052931334,-0.824996708
A00604,A00604.headed.txt,-1.00943213,-1.710530891
A00605,A00605.headed.txt,-0.393758511,1.723886297
A00607,A00607.headed.txt,1.742332169,-0.212742599
A00608,A00608.headed.txt,0.387209717,1.703882928
A00609,A00609.headed.txt,-0.44389533,1.114875309
A00610,A00610.headed.txt,4.06540718,1.141439999
A00611,A00611.headed.txt,-3.381701708,-1.65898011
A00614,A00614.headed.txt,-0.921766786,2.341893579
A00616,A00616.headed.txt,-0.766003484,1.388737511
A00617,A00617.headed.txt,1.359056061,-0.174574738
A00619,A00619.headed.txt,-2.306097735,2.339375971
A00626,A00626.headed.txt,0.167166541,3.125112494
A00627,A00627.headed.txt,-1.669413463,1.423754855
A00630,A00630.headed.txt,1.377577049,-0.764037871
A00631,A00631.headed.txt,2.798697058,1.122924958
A00634,A00634.headed.txt,2.939412674,-3.508184163
A00635,A00635.headed.txt,2.03618998,-0.328850543
A00637,A00637.headed.txt,3.584181573,-0.064371551
A00639,A00639.headed.txt,1.818026689,0.658047267
A00641,A00641.headed.txt,1.589703206,-2.731117385
A00642,A00642.headed.txt,2.683140106,0.056245441
A00643,A00643.headed.txt,0.705956613,2.332819645
A00646,A00646.headed.txt,-3.099901471,0.692335564
A00648,A00648.headed.txt,-4.614860069,2.625505849
A00649,A00649.headed.txt,-2.80127133,0.225039492
