ngram,corpus frequency,document frequency,rank in corpus
grave,176,31,353
brought,176,36,353
age,176,36,353
money,174,32,354
warrant,173,34,355
trust,173,35,355
thinks,173,36,355
mercy,173,35,355
command,173,33,355
yea,172,33,356
past,172,36,356
foot,172,36,356
bound,172,34,356
something,171,34,357
taken,170,33,358
maid,170,31,358
doubt,170,35,358
sorrow,169,33,359
masters,169,32,359
cut,169,36,359
thanks,168,34,360
seem,168,35,360
has,168,25,360
truly,167,33,361
sons,167,28,361
pleasure,166,35,362
wind,165,33,363
weep,165,34,363
open,165,34,363
merry,165,34,363
sound,164,34,364
em,164,19,364
ladies,163,28,365
ask,163,35,365
knave,162,29,366
hang,162,34,366
hard,161,36,367
goes,161,36,367
either,161,34,367
knew,160,32,368
heavy,160,35,368
sake,159,35,369
hate,159,32,369
ground,159,34,369
ears,159,34,369
praise,158,31,370
justice,158,31,370
field,158,30,370
fie,158,31,370
th,157,28,371
next,157,36,371
hell,157,33,371
drink,157,34,371
certain,157,32,371
bad,157,33,371
you'll,156,33,372
richard,156,12,372
brave,156,32,372
base,156,33,372
ah,156,29,372
worse,155,35,373
voice,155,35,373
twenty,155,33,373
took,155,35,373
henry,155,11,373
fault,155,35,373
course,155,34,373
content,155,36,373
almost,155,35,373
valiant,154,29,374
she's,154,31,374
ring,154,27,374
brutus,154,7,374
behold,154,34,374
side,153,31,375
sick,153,31,375
revenge,153,33,375
women,152,33,376
rich,152,36,376
fit,152,34,376
enemy,152,32,376
brothers,152,30,376
strike,151,34,377
sad,151,33,377
twas,150,33,378
duty,149,30,379
sin,148,31,380
lead,148,33,380
french,148,18,380
unless,147,34,381
spoke,147,34,381
fortunes,147,32,381
deed,147,29,381
beauty,147,32,381
withal,146,33,382
stands,146,33,382
married,146,32,382
having,146,35,382
common,146,36,382
ten,145,31,383
note,145,34,383
mans,145,34,383
hark,145,30,383
coming,145,36,383
hot,144,34,384
english,144,17,384
change,144,32,384
already,144,33,384
themselves,143,32,385
report,143,35,385
person,143,32,385
whether,142,33,386
soon,142,36,386
become,142,33,386
wars,141,27,387
oath,141,33,387
ready,140,32,388
question,140,32,388
point,140,33,388
sovereign,139,28,389
presently,139,35,389
arm,139,28,389
yield,138,33,390
dog,138,30,390
black,138,34,390
wise,137,32,391
oft,137,32,391
needs,137,35,391
met,137,34,391
want,136,33,392
edward,136,9,392
deny,136,33,392
wherefore,135,35,393
eat,135,32,393
anthony,135,5,393
soldiers,134,27,394
pass,134,32,394
just,134,32,394
hours,134,36,394
soldier,132,30,395
pay,132,33,395
grow,132,34,395
blessed,132,34,395
sing,131,33,396
bold,131,34,396
warwicke,129,5,397
tender,129,34,397
music,129,28,397
four,129,33,397
sworn,128,32,398
speech,127,29,399
lips,127,29,399
liege,127,24,399
hector,127,8,399
flesh,127,32,399
captain,127,23,399
souls,126,31,400
mouth,126,33,400
deep,126,33,400
wild,125,33,401
five,125,32,401
fast,125,32,401
counsel,125,33,401
confess,125,33,401
straight,124,33,402
princes,124,23,402
got,124,31,402
favour,124,35,402
anon,124,32,402
pale,123,33,403
office,123,34,403
country,123,31,403
beat,123,32,403
banished,123,22,403
above,123,32,403
traitor,122,26,404
moon,122,28,404
honourable,122,33,404
glad,122,35,404
woe,121,30,405
witness,121,33,405
signior,121,12,405
knight,121,22,405
wherein,120,32,406
water,120,35,406
walk,120,32,406
sport,120,33,406
slave,120,32,406
romeo,120,1,406
page,120,12,406
letters,120,32,406
fetch,120,31,406
fell,120,31,406
enemies,120,28,406
bosom,120,33,406
appear,120,29,406
spirits,119,32,407
seems,119,35,407
morning,119,30,407
whole,118,33,408
slain,118,23,408
killed,118,31,408
conscience,118,25,408
city,118,27,408
others,117,29,409
marriage,117,27,409
excellent,117,31,409
speaks,116,34,410
gives,116,34,410
dream,116,31,410
act,116,27,410
soft,115,33,411
wonder,114,34,412
watch,114,27,412
strength,114,32,412
fare,114,29,412
attend,114,34,412
write,113,32,413
white,113,32,413
loss,113,32,413
sense,112,29,414
often,112,34,414
de,112,9,414
win,111,28,415
servant,111,29,415
pretty,111,31,415
lie,111,28,415
fools,111,30,415
entreat,111,33,415
door,111,30,415
cassio,111,1,415
along,111,32,415
action,111,30,415
town,110,22,416
speed,110,34,416
rage,110,31,416
murder,110,28,416
living,110,32,416
hundred,110,28,416
begin,110,34,416
mighty,109,28,417
judgment,109,29,417
count,109,23,417
touch,108,34,418
quickly,108,32,418
