Name,JonathanPeriod,Genre,Wells Taylor date,Date,FirstPer,SelfDisclosure,SelfReluctance,Autobio,PrivateThinking,Confidence,Uncertainty,Disclosure,Intensity,Immediacy,SubjectiveTime,SubjectivePercept,Positivity,Negativity,Anger,Fear,Sad,Reluctance,Apology,ProjectAhead,PredictedFuture,ProjectBack,Future_in_Past,SenseProperty,SenseObject,SpaceRelation,SceneShift,Motions,DialogCues,OralCues,Promise,Self_Promise,Reassure,Reinforce,Acknowledge,Inclusive,Confront,Precedent,CommonAuthorities,PriorKnowledge,ReceivedPOV,ConfirmedThght,StandardsPos,Innovations,StandardsNeg,Responsibility,ReasonForward,ReasonBackward,DirectReasoning,Support,Contingency,DenyDisclaim,Concessive,Resistance,Curiosity,Request,DirectAddress,Question,Future_Question,OpenQuery,FollowUp,Feedback,PosFeedback,NegFeedback,PersonPronoun,Aside,Generalization,Example,Comparison,Resemblances,Specifiers,Exceptions,Definition,PersonProperty,CommunicatorRole,LangRef,AbstractConcepts,Citations,Quotation,ReportingStates,ReportingEvents,RecurringEvents,GenericEvents,Sequence,MatureProcess,Cause,Transformation,Substitution,Updates,Imperative,Procedures,MoveBody,ConfirmExperience,ErrorRecovery,Insist,Meta_Discourse,Narrative_Verbs,TimeShift,TimeDuration,Biographical_Time,TimeDate
Julius Caesar,3,Tragedy,1599,1599,2.29,0.66,0,0.11,0.34,0.35,0.37,0.07,1.13,0.73,0.17,1.09,1.09,2.09,0.18,0.27,0.17,0.01,0,0.87,0.61,0.63,0,0.98,3.02,1.4,0.34,0.87,0.02,0.49,0.01,0,0.03,0,0.01,0.68,0.01,0,0.68,0.03,0.02,0.02,1.72,0,0.47,0.02,0.46,0.02,0.01,0.01,0.86,1.34,0.04,1.09,0.14,0.07,3.6,2.01,0.1,0.02,0,0,0,0,1.65,0.07,0.27,0,0.59,0.13,0.59,0.09,0.01,1.46,0,0.89,3.82,0.32,0,1.72,2.69,0.15,0.27,0.45,0,0.12,0.21,0,0.34,0.37,0,0.02,0,0,0.43,0.3,0.15,0.24,0.45,0.15,0.01
Hamlet,3,Tragedy,1600,1600,1.93,0.63,0.01,0.23,0.47,0.32,0.43,0.17,1.1,0.51,0.19,1.11,1.33,2.28,0.12,0.15,0.17,0.01,0,0.74,0.4,0.59,0,1.17,3.43,1.27,0.34,0.85,0.01,0.54,0.01,0.01,0.02,0,0.05,0.6,0.03,0,0.91,0.01,0.02,0.02,1.59,0.01,0.57,0.04,0.42,0.02,0.01,0.01,0.96,1.24,0.07,1.11,0.17,0.05,3.39,1.96,0.1,0.02,0.01,0,0,0,1.76,0.05,0.17,0.01,0.73,0.2,0.7,0.08,0.01,1.79,0.01,1.24,4.05,0.29,0,1.69,2.9,0.23,0.29,0.44,0,0.09,0.17,0.01,0.31,0.37,0.01,0.01,0,0,0.4,0.27,0.12,0.17,0.43,0.13,0
Twelfth Night,3,Comedy,1601,1599,3.2,0.99,0,0.19,0.35,0.37,0.4,0.1,0.9,0.41,0.17,0.95,1.52,2.35,0.2,0.1,0.14,0.01,0,0.7,0.52,0.58,0,1.09,2.75,1.12,0.22,0.68,0.01,0.53,0,0.01,0.02,0,0.04,0.2,0.01,0,0.72,0.02,0.03,0.02,2.06,0,0.54,0.03,0.43,0.03,0,0.01,1.11,1.45,0.13,1.09,0.12,0.08,4.21,2,0.13,0.03,0.01,0,0,0,1.84,0.04,0.15,0.01,0.66,0.15,0.7,0.1,0,2.98,0.01,1.27,3.57,0.3,0,1.52,2.74,0.22,0.22,0.41,0,0.07,0.17,0.01,0.49,0.4,0.01,0.01,0.03,0,0.33,0.26,0.11,0.17,0.41,0.14,0
Troilus and Cressida,3,Tragedy,1602,1601,1.92,0.6,0,0.14,0.28,0.3,0.33,0.11,1.1,0.53,0.15,1.04,1.42,2.64,0.16,0.16,0.12,0,0,0.9,0.4,0.49,0,1.37,3.61,1.31,0.24,0.95,0,0.69,0.01,0.01,0.02,0,0.04,0.6,0.01,0,0.78,0.01,0.01,0.01,2.28,0.01,0.57,0.01,0.36,0.03,0,0.01,0.82,1.29,0.07,1.1,0.12,0.07,3.21,1.98,0.14,0.04,0,0,0,0,1.96,0.05,0.28,0.02,0.76,0.2,0.69,0.04,0,1.76,0.01,1.14,4.2,0.34,0,1.59,2.81,0.14,0.32,0.33,0,0.09,0.14,0.01,0.52,0.31,0,0.02,0.01,0,0.43,0.25,0.06,0.17,0.32,0.09,0.01
Measure For Measure,3,Comedy,1603,1604,2.16,0.8,0,0.17,0.43,0.5,0.41,0.15,1.01,0.47,0.2,1.14,1.51,2.29,0.13,0.14,0.1,0.03,0,0.83,0.37,0.62,0,0.76,1.96,1.21,0.25,0.54,0.02,0.43,0.01,0.01,0.02,0,0.09,0.42,0,0,1.29,0.02,0.02,0.02,2.25,0.01,0.87,0.02,0.41,0.04,0,0.02,1.02,1.2,0.07,1.23,0.16,0.08,4.14,1.98,0.09,0.03,0,0,0,0,2.04,0.08,0.15,0.01,0.79,0.1,0.73,0.09,0,2.6,0,0.79,4.09,0.3,0,1.76,3.02,0.24,0.22,0.37,0,0.11,0.19,0.02,0.45,0.37,0.02,0.02,0.01,0,0.46,0.31,0.1,0.16,0.45,0.19,0.01
Othello,3,Tragedy,1603,1604,2.83,0.95,0.01,0.22,0.43,0.43,0.48,0.17,1.15,0.55,0.17,1.01,1.64,2.59,0.17,0.13,0.19,0.01,0.01,0.71,0.37,0.59,0,1.03,2.63,1.23,0.28,0.75,0.01,0.62,0,0.01,0.01,0,0.03,0.34,0.01,0,0.74,0.01,0.02,0.03,2.04,0.01,0.71,0.04,0.44,0.01,0,0.02,0.99,1.4,0.1,1.18,0.11,0.08,3.46,2.19,0.09,0.03,0.01,0,0,0,2.1,0.04,0.17,0,0.6,0.09,0.66,0.06,0.01,1.67,0,1.1,3.78,0.36,0,1.67,2.81,0.22,0.26,0.35,0,0.11,0.18,0.01,0.43,0.35,0.01,0.02,0.02,0,0.46,0.27,0.14,0.15,0.36,0.13,0.01
All's Well that Ends Well,3,Comedy,1604,1602,2.78,1.06,0.01,0.24,0.35,0.54,0.42,0.08,1.15,0.39,0.18,0.98,1.64,2.04,0.11,0.13,0.2,0.01,0,0.78,0.46,0.82,0,0.89,2.51,1.11,0.27,0.54,0.01,0.38,0.01,0.01,0.03,0,0.1,0.57,0.01,0,1.19,0.01,0.01,0.01,2.25,0.02,0.55,0.02,0.38,0.02,0,0.01,1.01,1.3,0.1,1.12,0.18,0.06,3.78,1.47,0.09,0.03,0,0,0.01,0,2.4,0.13,0.2,0.01,0.64,0.11,0.68,0.12,0,2.63,0,0.94,4.09,0.38,0,1.67,3.05,0.28,0.23,0.49,0.01,0.07,0.15,0.01,0.42,0.27,0,0,0.01,0,0.49,0.24,0.15,0.14,0.27,0.22,0.01
King Lear,3,Tragedy,1605,1605,2.51,0.8,0,0.24,0.3,0.37,0.34,0.03,0.87,0.48,0.17,0.91,1.18,3.04,0.2,0.14,0.22,0.01,0,0.77,0.36,0.55,0,1.38,3.27,1.23,0.25,0.81,0,0.46,0,0.01,0.03,0,0.04,0.57,0.03,0,0.84,0.01,0.01,0.01,1.75,0.01,0.73,0.04,0.31,0.02,0,0.01,0.92,1.37,0.09,0.93,0.16,0.06,4.21,2.13,0.09,0.01,0,0,0,0,1.76,0.1,0.18,0.01,0.83,0.13,0.56,0.03,0,2.77,0,0.97,4.08,0.25,0,1.39,3.15,0.19,0.21,0.37,0,0.11,0.18,0.01,0.34,0.49,0.01,0.01,0.01,0,0.44,0.2,0.17,0.12,0.34,0.13,0
Timon Of Athens,3,Tragedy,1605,1607,2.45,0.7,0,0.1,0.32,0.35,0.35,0.06,0.96,0.52,0.13,1.06,1.56,2.85,0.2,0.12,0.17,0.01,0,0.78,0.27,0.66,0,1.06,3.24,1.14,0.27,0.84,0.01,0.47,0.01,0,0.02,0,0.08,0.57,0.02,0,1.2,0.01,0,0,2.48,0.01,0.68,0.01,0.4,0.03,0,0,0.89,1.41,0.06,0.99,0.11,0.06,4.48,1.9,0.12,0.01,0,0,0,0,2.05,0.09,0.25,0.01,0.79,0.13,0.54,0.07,0.01,1.78,0,0.99,4.24,0.2,0,1.6,3.17,0.25,0.21,0.32,0,0.04,0.21,0.01,0.41,0.41,0.01,0.01,0,0,0.54,0.21,0.12,0.19,0.38,0.16,0
Macbeth,3,Tragedy,1606,1605,2,0.71,0,0.1,0.34,0.31,0.43,0.08,0.89,0.53,0.19,1.13,1.24,2.53,0.19,0.32,0.19,0,0.01,0.88,0.33,0.74,0.01,1.28,3.6,1.47,0.31,1.25,0.01,0.33,0.01,0,0.02,0.01,0.07,0.9,0.01,0,0.82,0.01,0.03,0.01,1.85,0.01,0.66,0.01,0.38,0.02,0.01,0.01,0.8,1.21,0.1,1.2,0.16,0.05,3,1.93,0.1,0.03,0,0,0.01,0,1.76,0.15,0.24,0.01,0.63,0.19,0.67,0.09,0.01,1.89,0.01,0.95,4.08,0.26,0,1.87,2.93,0.21,0.28,0.45,0,0.1,0.19,0.01,0.42,0.45,0.01,0.02,0,0,0.44,0.23,0.17,0.19,0.45,0.16,0.01
